name,model_type,test_MeanSquaredError,test_MeanAbsolutePercentageError,test_MeanSquaredErrorHighChangeIntervals,Mean test time per sample (ms)
lstm_2025-02-06_15-22-06,lstm,0.7153841743442252,2.9478484879107265,1.3413143462011086,0.8248804615872443
tcn_2025-02-06_15-22-02,tcn,1.0283234763900406,1.1714242483630055,1.9496355894921595,0.8428709045567019
tft_2025-02-06_15-21-59,tft,0.3323616472656223,0.7743978938536352,0.6577384615818994,2.4241687255956785
deepar_2025-02-06_15-21-44,deepar,1.1689697223669762,4.556960161161296,2.095539729455629,0.8255471361091222
nhits_2025-02-06_15-21-44,nhits,0.7069930778914106,2.0472450238888573,1.5086937267224692,0.847432998907002
transformer_2025-02-06_15-21-35,transformer,0.6165203542714234,1.4079109026547103,1.405802895686964,0.8577686877411498
lstm_2025-02-06_15-21-27,lstm,0.7294064261154967,3.029569412537348,1.202401856071403,0.8212195654564044
tcn_2025-02-06_15-21-27,tcn,0.9919726706792964,1.2879754827487682,1.92717194834134,0.829144500081649
deepar_2025-02-06_15-21-05,deepar,0.9115458310781464,3.3869812492308515,1.5299076742231952,0.9334772263112886
tft_2025-02-06_15-21-04,tft,0.2445268257384696,1.0293676814938155,0.5471135309596273,2.348113276512193
transformer_2025-02-06_15-20-52,transformer,0.6179747621697942,1.3815938755964814,1.404591040057935,0.9056054334372968
tcn_2025-02-06_15-20-51,tcn,0.985241394967894,1.2093976410009706,1.9003269688076576,0.8355675250901591
lstm_2025-02-06_15-20-49,lstm,0.8217915190415255,3.989965924638957,1.6380522363538377,0.8254821974393504
nhits_2025-02-06_15-20-28,nhits,0.673826414759925,2.2399782617414816,1.4095660903430318,0.861858893328768
deepar_2025-02-06_15-20-25,deepar,0.796065006725334,3.591209110981355,1.5284259329426253,0.8922511130533255
tcn_2025-02-06_15-20-16,tcn,0.9678294703129778,1.4586705585396809,1.8619065419819163,0.827852092549929
lstm_2025-02-06_15-20-11,lstm,0.5895655768917302,2.225724454964102,1.3762975165007236,0.8203777617982129
transformer_2025-02-06_15-20-07,transformer,0.5945301044261868,1.3686528393198507,1.3516107260381525,0.8967392175170162
tft_2025-02-06_15-20-07,tft,0.3246675065178198,2.138772309424907,0.662036444436382,2.4663668471243225
deepar_2025-02-06_15-19-45,deepar,1.704130725477491,6.751900624492154,2.597849233631481,0.8208034657742209
tcn_2025-02-06_15-19-40,tcn,,,,0.8303444854000492
lstm_2025-02-06_15-19-32,lstm,0.4836358141584869,1.362883361076678,0.970437946088407,0.8314796194643773
transformer_2025-02-06_15-19-24,transformer,0.5998911933240078,1.3313814501505397,1.3657350439849998,0.8882448186769205
tft_2025-02-06_15-19-08,tft,0.295891027787108,2.068550438345097,0.6294710685506398,2.4660141643165323
deepar_2025-02-06_15-19-06,deepar,0.9240107588707982,2.8713939906964323,1.7564130815400618,0.8724042576501895
tcn_2025-02-06_15-19-04,tcn,,,,0.831233334901464
nhits_2025-02-06_15-19-02,nhits,0.6746071692002161,2.0986094360190597,1.4279233628407866,0.8491013258638437
lstm_2025-02-06_15-18-54,lstm,1.6413992543755171,5.421026717120721,2.185301315960266,0.8021388605446614
transformer_2025-02-06_15-18-40,transformer,0.5886838933317272,1.336639289833621,1.3401508092578076,0.8217473878808644
tcn_2025-02-06_15-18-28,tcn,1.025023836191321,1.1501535889034828,1.9756771876518855,0.8405136782914171
deepar_2025-02-06_15-18-27,deepar,1.001796068454189,5.198560339317636,1.5562812948367215,0.9153838393271274
