name,model_type,test_MeanSquaredError,test_MeanAbsolutePercentageError,test_MeanSquaredErrorHighChangeIntervals,Mean test time per sample (ms)
deepar_2025-02-06_15-39-18,deepar,1.5800373319950936,5.531172903742813,1.8093427654909195,0.979823188241714
nhits_2025-02-06_15-39-16,nhits,0.4700299899570873,1.5417146930505072,1.2125435975922754,0.8235708715113075
lstm_2025-02-06_15-39-15,lstm,0.7399804415188984,1.4945774337592548,1.390862358538853,0.7892407874679169
transformer_2025-02-06_15-38-58,transformer,0.6179001571485686,1.0801280430691738,1.39716925710213,0.8563080042734018
deepar_2025-02-06_15-38-40,deepar,1.2191572444470895,6.161440036020061,2.197392927942172,0.821640902696668
tft_2025-02-06_15-38-38,tft,0.4844443371825729,1.5274129208871914,1.2329442608205752,0.9231386796745192
lstm_2025-02-06_15-38-38,lstm,0.5937529368339756,1.988089411645572,1.2920723090542532,0.813159255830147
nhits_2025-02-06_15-38-37,nhits,0.4776788188578991,1.002590182214717,1.2248728446198207,0.8247787659258946
transformer_2025-02-06_15-38-10,transformer,0.6333784830394898,0.8556675361024082,1.4225832598817034,0.9015265092387073
lstm_2025-02-06_15-38-02,lstm,1.004493379577127,5.197622457409869,1.6234792749455986,0.7928244841030186
deepar_2025-02-06_15-38-01,deepar,2.1811837457850287,9.125958467806257,2.685213876411084,0.8851072393700747
nhits_2025-02-06_15-38-00,nhits,0.475671346893444,0.991479709614121,1.2297000777445175,0.8186722419622456
tft_2025-02-06_15-37-55,tft,0.4910993383264543,1.345910143178343,1.2526763285359916,0.924253959894714
tcn_2025-02-06_15-37-27,tcn,1.0133477636398078,1.03061306995791,1.9734802063980568,0.8160757243900043
lstm_2025-02-06_15-37-25,lstm,1.1382976157219875,7.081494137746015,1.4105784859611596,0.8169629625366319
nhits_2025-02-06_15-37-24,nhits,0.4724914228970922,1.118264807774138,1.1738022681377356,0.838953579354393
deepar_2025-02-06_15-37-22,deepar,1.9350810425088143,8.182836315799914,2.351734642735932,0.9975042365624778
transformer_2025-02-06_15-37-22,transformer,0.6279615142511197,0.8803616146697958,1.4143022485328545,0.9097789216529376
tft_2025-02-06_15-37-14,tft,0.5188272452968777,0.9356291842968402,1.2988038657091017,0.9991147564938458
tcn_2025-02-06_15-36-54,tcn,0.9754705941554728,1.861534596577979,1.8687415563708072,0.814772658812268
lstm_2025-02-06_15-36-48,lstm,0.9251699364868516,5.258390634043923,1.303390597988369,0.812894703767946
nhits_2025-02-06_15-36-46,nhits,0.4800822165832659,1.0539735720944854,1.2379518896120674,0.8179364492521262
deepar_2025-02-06_15-36-43,deepar,1.329687561039886,6.611647587728594,2.1080239833033314,0.8452885029146738
tft_2025-02-06_15-36-34,tft,0.5046332448496171,0.9674396036596512,1.274499044132282,0.9642623281558914
transformer_2025-02-06_15-36-34,transformer,0.623835276359528,0.7755034176801864,1.406670852258185,0.8936110433772244
tcn_2025-02-06_15-36-21,tcn,1.0228127810536605,1.121620915329943,1.9761241377500125,0.8290884327953276
nhits_2025-02-06_15-36-11,nhits,0.4783617384341657,1.1419136020499097,1.2111667919122566,0.8310935417156847
lstm_2025-02-06_15-36-11,lstm,0.5481975519340818,1.8532223219030337,1.2876302002126911,0.8216482737218328
deepar_2025-02-06_15-36-05,deepar,1.8517537121743828,8.263218014439836,3.085768858503345,0.8742284348896703
tft_2025-02-06_15-35-51,tft,0.4955940870166023,0.8348956121189183,1.198750884240414,0.9447689558786658
tcn_2025-02-06_15-35-47,tcn,1.0028541701406308,1.193328796401721,1.948873749964553,0.8178618874715265
transformer_2025-02-06_15-35-47,transformer,0.6222949880772832,0.9886921142552416,1.4075033089228963,0.8714747329330658
lstm_2025-02-06_15-35-35,lstm,0.7858197465904175,3.312755635486399,1.4360594043166612,0.8168886811055643
nhits_2025-02-06_15-35-32,nhits,0.4751694275332748,1.1930980190561953,1.2505648647022378,0.8348541458130188
deepar_2025-02-06_15-35-26,deepar,1.2863077755599837,6.063914096885656,2.9112193279544325,0.9392924085164162
tcn_2025-02-06_15-35-14,tcn,0.9857770233942904,1.1542357747717589,1.9350532307108097,0.8230939895734001
tft_2025-02-06_15-35-11,tft,0.4812820200345302,0.9216132489859624,1.1519106845377058,0.9246020589757452
transformer_2025-02-06_15-35-01,transformer,0.6321626056919806,1.0192240649576478,1.4125503013007414,0.8563388258104434
lstm_2025-02-06_15-34-58,lstm,0.658933642337645,2.329767747563493,1.5924022772689992,0.8217325727062305
nhits_2025-02-06_15-34-58,nhits,0.4816145317807198,1.026649676691423,1.229402027419455,0.8156339454528926
deepar_2025-02-06_15-34-48,deepar,1.638913856475424,6.126004428751282,1.890056872897443,0.8625835261267164
tcn_2025-02-06_15-34-40,tcn,0.9939713293859122,1.1537976191996775,1.9432639215725789,0.8301119117633156
tft_2025-02-06_15-34-31,tft,0.5017436896679965,0.8526624135898551,1.24753563487275,0.9862227541635104
lstm_2025-02-06_15-34-22,lstm,0.8413388012035381,4.761041453987869,1.2710811826218107,0.8157409298831544
nhits_2025-02-06_15-34-20,nhits,0.4753698199839963,1.0541788237880416,1.2050417612336648,0.8124808595060845
transformer_2025-02-06_15-34-12,transformer,0.6226924599895151,0.8011411619399844,1.4055747943955146,0.8637274365367181
deepar_2025-02-06_15-34-10,deepar,1.293018685172774,5.1784075418439475,1.8904390305215857,0.8336787478869682
tcn_2025-02-06_15-34-07,tcn,1.011678423165991,0.9212809978329168,1.98249086895378,0.8218126812154223
tft_2025-02-06_15-33-52,tft,0.4853348706935261,1.0250977457394723,1.2414691311929298,0.9240152471510652
lstm_2025-02-06_15-33-45,lstm,0.801873835959008,3.043355298494939,1.5373884397543962,0.8117016088074582
nhits_2025-02-06_15-33-41,nhits,0.4738491959233026,1.7194775639224702,1.218102366809232,0.8199753511287368
tcn_2025-02-06_15-33-34,tcn,1.0061274333024308,1.2168300883407936,1.9502557967459897,0.824909322344891
deepar_2025-02-06_15-33-30,deepar,1.2287944154079316,5.868072771896939,1.7881561918807305,0.9254199171634128
